             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              ITER01                   1       38.1799126953       631175283.757       4495.31402829       857.464877429       4509.74665897       10.7992358449        44.770628288       57.4476937595      -3.44572978738     -0.129807384106  2020-01-01T18:26:54.573                2954                 0.5       -4.5902306456       91.2547967865      -4.39150915717
              ITER01                   1       38.0142723824        631175283.79       4494.99493095       857.527868352       4509.55469759       10.8007591716       44.7713075189       57.0983562822      -15.6226161611     -0.590002688651  2020-01-01T18:26:54.606                3009                 0.1      -4.61196366087       91.0277191667      -4.40783196578
              ITER01                   1       37.8719029757       631175283.824       4494.71263081       857.583595381       4509.38487253        10.802107001       44.7719084678        56.789305856      -43.7744484376      -1.65682437223  2020-01-01T18:26:54.639                4649                 2.3      -5.08578676481       90.8276633052      -4.87687747168
              ITER01                   1       37.7210232659       631175283.857       4494.41652864       857.642046977        4509.2067445       10.8035208965       44.7725388428        56.465148239      -70.6427711578      -2.67993358351  2020-01-01T18:26:54.673                7349                 2.6      -5.58454233517       90.6186756695      -5.37063089002
              ITER01                   1         37.49511725       631175283.891       4493.98917805       857.726407467       4508.94966055       10.8055618116       44.7734487152       55.9973113787      -85.9096305109      -3.26993214395  2020-01-01T18:26:54.706               13177                 0.8      -6.22091508348       90.3185985121      -5.99980103325
              ITER01                   1       37.3321222542       631175283.924       4493.70042201       857.783408911       4508.77595178       10.8069410392       44.7740635602       55.6812024716      -63.3568067896      -2.41691355476  2020-01-01T18:26:54.740               17164                   1      -6.50967626019        90.116881238       -6.2837070265
              ITER01                   1       37.1391302259       631175283.957       4493.36008814       857.850591999       4508.57121501        10.808566837       44.7747882855       55.3086333007      -37.2058897548      -1.42305434806  2020-01-01T18:26:54.773               19817                 0.8      -6.66782986904       89.8802203101      -6.43615051039
              ITER01                   1       36.9799445968       631175283.991       4493.07880978       857.906117324       4508.40200463       10.8099106952       44.7753873007       55.0007159342      -19.5929324645     -0.751019142122  2020-01-01T18:26:54.806               12045                 1.7      -6.12900969554       89.6855195022      -5.89262133618
              ITER01                   1       36.4581123964       631175284.058       4492.15412896       858.088652528       4507.84573863       10.8143296259       44.7773568098       53.9884789861       14.6239584177      0.564545467244  2020-01-01T18:26:54.873               28019                 0.4      -7.05152436962         89.05122691      -6.79972390644
              ITER01                   1       36.1119306121       631175284.124       4491.52488956       858.212866569       4507.46720317        10.817337646       44.7786973051       53.2996735843      -9.65889532245     -0.374667855082  2020-01-01T18:26:54.940               34565                 0.3      -7.28351939491       88.6247270775      -7.02129394876
